Time_s;Pressure[mH2O]
0.00;23.8947
1.00;23.8803
2.00;23.8803
3.00;23.8983
4.00;23.8839
5.00;23.8983
6.00;23.8983
7.00;23.9448
8.00;23.9807
9.00;23.9699
10.00;23.9843
11.00;24.0308
12.00;24.0559
13.00;24.0774
14.00;24.0703
15.00;24.1097
16.00;24.1563
17.00;24.1885
18.00;24.1885
19.00;24.2279
20.00;24.253
21.00;24.2817
22.00;24.2996
23.00;24.3139
24.00;24.3318
25.00;24.3498
26.00;24.3784
27.00;24.3963
28.00;24.4178
29.00;24.4286
30.00;24.4393
31.00;24.4608
32.00;24.468
33.00;24.4859
34.00;24.5182
35.00;24.5253
36.00;24.5397
37.00;24.554
38.00;24.5612
39.00;24.5648
40.00;24.5934
41.00;24.6042
42.00;24.6149
43.00;24.6221
44.00;24.6364
45.00;24.6364
46.00;24.6579
47.00;24.6508
48.00;24.6364
49.00;24.6579
50.00;24.6794
51.00;24.6938
52.00;24.7009
53.00;24.726
54.00;24.726
55.00;24.726
56.00;24.7332
57.00;24.7475
58.00;24.7547
59.00;24.7654
60.00;24.7762
61.00;24.7833
62.00;24.7941
63.00;24.7941
64.00;24.8048
65.00;24.7977
66.00;24.8156
67.00;24.8263
68.00;24.8299
69.00;24.8443
70.00;24.8478
71.00;24.8514
72.00;24.855
73.00;24.8622
74.00;24.8729
75.00;24.8765
76.00;24.8765
77.00;24.8873
78.00;24.8944
79.00;24.9016
80.00;24.9052
81.00;24.9052
82.00;24.9088
83.00;24.9231
84.00;24.9231
85.00;24.9267
86.00;24.9338
87.00;24.9338
88.00;24.9446
89.00;24.9482
90.00;24.9518
91.00;24.9518
92.00;24.9589
93.00;24.9661
94.00;24.9661
95.00;24.9697
96.00;24.9804
97.00;24.9804
98.00;24.9804
99.00;24.9912
100.00;24.9983
101.00;24.9983
102.00;25.0019
103.00;24.9983
104.00;25.0055
105.00;25.0163
106.00;25.0198
107.00;25.0163
108.00;25.0234
109.00;25.027
110.00;25.0234
111.00;25.0306
112.00;25.0378
113.00;25.0378
114.00;25.0413
115.00;25.0449
116.00;25.0485
117.00;25.0485
118.00;25.0557
119.00;25.0557
120.00;25.0593
121.00;25.0628
122.00;25.07
123.00;25.07
124.00;25.0772
125.00;25.0808
126.00;25.0843
127.00;25.0843
128.00;25.0843
129.00;25.0843
130.00;25.0951
131.00;25.0987
132.00;25.0987
133.00;25.0987
134.00;25.0987
135.00;25.1023
136.00;25.1023
137.00;25.1023
138.00;25.113
139.00;25.1166
140.00;25.1202
141.00;25.1166
142.00;25.1202
143.00;25.1166
144.00;25.1202
145.00;25.1202
146.00;25.1202
147.00;25.1238
148.00;25.1273
149.00;25.1345
150.00;25.1345
151.00;25.1381
152.00;25.1417
153.00;25.1417
154.00;25.1417
155.00;25.1453
156.00;25.1417
157.00;25.1453
158.00;25.1453
159.00;25.1524
160.00;25.1453
161.00;25.156
162.00;25.1596
163.00;25.156
164.00;25.156
165.00;25.156
166.00;25.1524
167.00;25.1596
168.00;25.1596
169.00;25.1596
170.00;25.1632
171.00;25.1632
172.00;25.1668
173.00;25.1632
174.00;25.1596
175.00;25.1739
176.00;25.1739
177.00;25.1668
178.00;25.1668
179.00;25.1668
180.00;25.1668
181.00;25.1739
182.00;25.1739
183.00;25.1739
184.00;25.1739
185.00;25.1775
186.00;25.1775
187.00;25.1739
188.00;25.1775
189.00;25.1811
190.00;25.1811
191.00;25.1775
192.00;25.1847
193.00;25.1847
194.00;25.1811
195.00;25.1811
196.00;25.1811
197.00;25.1811
198.00;25.1847
199.00;25.1847
200.00;25.1847
201.00;25.1847
202.00;25.1918
203.00;25.1918
204.00;25.1847
205.00;25.1954
206.00;25.1918
207.00;25.1918
208.00;25.1918
209.00;25.1954
210.00;25.1954
211.00;25.1847
212.00;25.1918
213.00;25.1918
214.00;25.199
215.00;25.1954
216.00;25.199
217.00;25.1918
218.00;25.199
219.00;25.1954
220.00;25.199
221.00;25.1954
222.00;25.199
223.00;25.199
224.00;25.199
225.00;25.2026
226.00;25.2026
227.00;25.2026
228.00;25.2098
229.00;25.2098
230.00;25.2133
231.00;25.2026
232.00;25.2098
233.00;25.2098
234.00;25.2133
235.00;25.2133
236.00;25.2098
237.00;25.2026
238.00;25.2133
239.00;25.2098
240.00;25.2098
241.00;25.2133
242.00;25.2133
243.00;25.2133
244.00;25.2133
245.00;25.2205
246.00;25.2169
247.00;25.2133
248.00;25.2169
249.00;25.2133
250.00;25.2133
251.00;25.2098
252.00;25.2133
253.00;25.2133
254.00;25.2169
255.00;25.2169
256.00;25.2205
257.00;25.2205
258.00;25.2169
259.00;25.2205
260.00;25.2133
261.00;25.2205
262.00;25.2205
263.00;25.2205
264.00;25.2169
265.00;25.2169
266.00;25.2205
267.00;25.2241
268.00;25.2205
269.00;25.2205
270.00;25.2169
271.00;25.2205
272.00;25.2205
273.00;25.2169
274.00;25.2169
275.00;25.2169
276.00;25.2205
277.00;25.2205
278.00;25.2241
279.00;25.2169
280.00;25.2205
281.00;25.2205
282.00;25.2205
283.00;25.2241
284.00;25.2241
285.00;25.2205
286.00;25.2205
287.00;25.2241
288.00;25.2241
289.00;25.2205
290.00;25.2169
291.00;25.2205
292.00;25.2205
293.00;25.2205
294.00;25.2205
295.00;25.2169
296.00;25.2205
297.00;25.2205
298.00;25.2241
299.00;25.2169
300.00;25.2169
301.00;25.2169
302.00;25.2169
303.00;25.2169
304.00;25.2205
305.00;25.2205
306.00;25.2169
307.00;25.2169
308.00;25.2205
309.00;25.2169
310.00;25.2133
311.00;25.2133
312.00;25.2133
313.00;25.2169
314.00;25.2169
315.00;25.2169
316.00;25.2169
317.00;25.2133
318.00;25.2169
319.00;25.2098
320.00;25.2169
321.00;25.2133
322.00;25.2133
323.00;25.2133
324.00;25.2133
325.00;25.2133
326.00;25.2133
327.00;25.2133
328.00;25.2098
329.00;25.2098
330.00;25.2133
331.00;25.2169
332.00;25.2169
333.00;25.2133
334.00;25.2133
335.00;25.2098
336.00;25.2169
337.00;25.2133
338.00;25.2169
339.00;25.2133
340.00;25.2133
341.00;25.2169
342.00;25.2133
343.00;25.2133
344.00;25.2169
345.00;25.2133
346.00;25.2169
347.00;25.2098
348.00;25.2133
349.00;25.2098
350.00;25.2098
351.00;25.2098
352.00;25.2098
353.00;25.2098
354.00;25.2133
355.00;25.2133
356.00;25.2098
357.00;25.2026
358.00;25.2098
359.00;25.2169
360.00;25.2133
361.00;25.2133
362.00;25.2133
363.00;25.2026
364.00;25.2026
365.00;25.2098
366.00;25.2026
367.00;25.2098
368.00;25.2133
369.00;25.2026
370.00;25.199
371.00;25.2026
372.00;25.2098
373.00;25.2026
374.00;25.2026
375.00;25.199
376.00;25.2098
377.00;25.199
378.00;25.2098
379.00;25.2026
380.00;25.199
381.00;25.199
382.00;25.199
383.00;25.1954
384.00;25.2026
385.00;25.199
386.00;25.1954
387.00;25.1954
388.00;25.199
389.00;25.1954
390.00;25.1954
391.00;25.1918
392.00;25.2026
393.00;25.1954
394.00;25.1954
395.00;25.1918
396.00;25.1954
397.00;25.199
398.00;25.1954
399.00;25.1954
400.00;25.1954
401.00;25.1847
402.00;25.1918
403.00;25.1918
404.00;25.1918
405.00;25.1847
406.00;25.1954
407.00;25.1918
408.00;25.1954
409.00;25.1954
410.00;25.1918
411.00;25.1918
412.00;25.1847
413.00;25.1847
414.00;25.1847
415.00;25.1847
416.00;25.1811
417.00;25.1811
418.00;25.1811
419.00;25.1847
420.00;25.1811
421.00;25.1775
422.00;25.1811
423.00;25.1775
424.00;25.1775
425.00;25.1775
426.00;25.1775
427.00;25.1811
428.00;25.1847
429.00;25.1775
430.00;25.1775
431.00;25.1739
432.00;25.1775
433.00;25.1739
434.00;25.1739
435.00;25.1739
436.00;25.1739
437.00;25.1739
438.00;25.1668
439.00;25.1668
440.00;25.1668
441.00;25.1668
442.00;25.1668
443.00;25.1668
